n_acceso,cambio,actividad,anillo,fecha,historial_actividades,estado_ciclo,observacion_caso_atipico,estado_validacion,detalle_inconsistencia,conteo_duplicados
0,754408,ILUMINACION DE ANILLO,CEBBBLBORI05,2025-10-03,ILUMINACION DE ANILLO (754408),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
0,749962,IMPLEMENTACION,MEACBLBOCU11,2025-10-06,INSTALACION (749962) → IMPLEMENTACION (794016),ACTIVO,OK,INCONSISTENCIA,historial_con_caracteres_extraños,1.0
0,759920,RETIRO,MEACH04,2025-10-21,RETIRO (759920),CANCELADO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,estado_CANCELADO,1.0
0,DWBBANLLAN01,RETIRO,DWBBANLLAN01,2025-10-27,RETIRO (DWBBANLLAN01),CANCELADO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,estado_CANCELADO,1.0
0,771613,RETIRO,ADMNO10,2025-11-12,RETIRO (771613),CANCELADO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,estado_CANCELADO,1.0
0,795192,IMPLEMENTACION,CEBBBLBOYO04,2026-01-21,IMPLEMENTACION (795192),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
0,WO0000002274100,RETIRO,MEACBLBOSU01,2026-01-27,AMPLIACION (C336326) → RETIRO (C533394) → RETIRO (WO0000002274100),CANCELADO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,estado_CANCELADO | historial_con_caracteres_extraños,1.0
0,OC-2190381,ROLL BACK,MEACBLBOSO02,2026-02-20,AMPLIACION (C501957) → AMPLIACION (C518871) → RETIRO (C520133) → AMPLIACION (C540616) → INSTALACION (OC-2190381) → ROLL BACK (OC-2190381),ROLL_BACK,OK,INCONSISTENCIA,estado_ROLL_BACK | historial_con_caracteres_extraños,1.0
0,810412,IMPLEMENTACION,CUNI_LIBERTY WBP,2026-03-03,IMPLEMENTACION (810412),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
0,APR-17196,IMPLEMENTACION,MEADALBOGU09,2026-03-04,IMPLEMENTACION (APR-17196),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
0,818579,RETIRO,MEACBVIPO01,2026-03-16,RETIRO (818579),CANCELADO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,estado_CANCELADO,1.0
0,APR-17215,ILUMINACION DE ANILLO,MEADALBOHO48,2026-04-13,ILUMINACION DE ANILLO (APR-17215),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
0,828637,RETIRO,MEAGU01,2026-04-15,RETIRO (C419862) → ILUMINACION DE ANILLO (469380) → ADICION (C467695) → RETIRO (828637),CANCELADO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,estado_CANCELADO | historial_con_caracteres_extraños,1.0
0,OC-2300720,INSTALACION,MEACBLBOSB03,2026-05-07,ADICION (C370325) → ADICION (C372311) → RETIRO (C398377) → ADICION (C415152) → DESPROGRAMACION (C477885) → ADICION (C485971) → ADICION (C487497) → RETIRO (C486295) → AMPLIACION (C500481) → RETIRO (C500566) → ADICION (C511349) → RETIRO (516207) → RETIRO (C515015) → AMPLIACION (C530857) → AMPLIACION (C535799) → AMPLIACION (C537563) → AMPLIACION (C538502) → DESPROGRAMACION (C778761) → DESPROGRAMACION (C782345) → INSTALACION (OC-2300720) → INSTALACION (OC-2300720),ACTIVO_CON_CAMBIO,OK,INCONSISTENCIA,historial_con_caracteres_extraños,1.0
0,844728,RETIRO,MEACBNVIGR03,2026-05-19,RETIRO (844728),CANCELADO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,estado_CANCELADO,1.0
0,847785,IMPLEMENTACION,MPBBBLBOMU15,2026-05-30,IMPLEMENTACION (847785),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
0,856477,IMPLEMENTACION,CEBBBLBOSU21,2026-06-18,IMPLEMENTACION (856477),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
00000/00000,C453779,AMPLIACION,HUACH09,2015-08-28,AMPLIACION (C453779),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
00000/00000,C479312,AMPLIACION,MEACBLBOKE02,2015-12-01,AMPLIACION (C479312),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
00000/00000,C532235,AMPLIACION,HUACU04,2016-06-10,AMPLIACION (C532235),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
00000/00000,C734691,DESPROGRAMACION,MEACBLBOCH02,2018-09-12,DESPROGRAMACION (C576949) → DESPROGRAMACION (C734691),CANCELADO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,estado_CANCELADO | historial_con_caracteres_extraños,1.0
00000/00000,C831442,ADICION,MEACBLBOCO03,2019-06-27,ADICION (C831442),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
00000/00000,OC-1378017,DESPROGRAMACION,LOGICO,2021-08-04,DESPROGRAMACION (OC-1378017),CANCELADO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,estado_CANCELADO,1.0
00000/00000,OC-1496792,DESPROGRAMACION,USDM,2023-04-15,DESPROGRAMACION (OC-1496792),CANCELADO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,estado_CANCELADO,1.0
00000/00000/00000,375533,AMPLIACION,HUACALBOBA06,2014-10-30,AMPLIACION (375533),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
00000/00000/00000,C376482,AMPLIACION,HUACO14,2014-10-30,AMPLIACION (C376482),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
00000/00000/00000,C375670,AMPLIACION,HUACALBOGU07,2014-11-01,AMPLIACION (C375670),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
00000/00000/00000,369718,AMPLIACION,HUACALBOTO16,2014-11-05,AMPLIACION (369718),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
00000/00000/00000,313371,INSTALACION,MEACALAVNI02,2014-11-07,INSTALACION (313371),ACTIVO,IDSERVICIO_INFERIDO,INCONSISTENCIA,obs_atipica_IDSERVICIO_INFERIDO,1.0
