n_acceso,cambio,actividad,anillo,fecha,historial_actividades,estado_ciclo,observacion_caso_atipico,estado_validacion,detalle_inconsistencia,conteo_duplicados
#############################################,C328236,INSTALACION,HUACALBOCE32,2011-09-23,INSTALACION (C328236),ACTIVO,IDSERVICIO_INFERIDO,INCONSISTENCIA,obs_atipica_IDSERVICIO_INFERIDO,1.0
#############################################,C280126,INSTALACION,MEASF01,2014-03-03,INSTALACION (C280126),ACTIVO,IDSERVICIO_INFERIDO,INCONSISTENCIA,obs_atipica_IDSERVICIO_INFERIDO,1.0
#############################################,C287793,RETIRO,MEACBLBORI01,2014-03-06,RETIRO (C287793),CANCELADO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,estado_CANCELADO,1.0
#############################################,C322579,INSTALACION,HUACALBOBA14,2014-04-08,INSTALACION (C322579),ACTIVO,IDSERVICIO_INFERIDO,INCONSISTENCIA,obs_atipica_IDSERVICIO_INFERIDO,1.0
#############################################,C320353,INSTALACION,HUACALCMBS02,2014-04-15,INSTALACION (C320353),ACTIVO,IDSERVICIO_INFERIDO,INCONSISTENCIA,obs_atipica_IDSERVICIO_INFERIDO,1.0
0,336131,ADICION,MEACALCMAU05,2014-05-22,ADICION (336131),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
0,336169,ADICION,MEACALCMPA02,2014-05-22,ADICION (336169),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
0,337322,ADICION,MEACALCMCE05,2014-05-27,ADICION (337322),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
0,C336390,AMPLIACION,HUACALCMNO04,2014-05-27,AMPLIACION (C336390),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
0,337329,ADICION,MEACALCMMU05,2014-05-28,ADICION (337329),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
0,339454,ADICION,SDMAC01,2014-06-05,ADICION (339454),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
0,341935,ADICION,HUACALCMNO03,2014-06-17,ADICION (341935),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
0,342409,ADICION,HACALBOZF08,2014-06-17,ADICION (342409),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
0,342573,ADICION,HUACH05,2014-06-18,ADICION (342573),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
0,329391,RETIRO,PENDIENTE,2014-06-26,INSTALACION (329391) → RETIRO (OC-877345) → RETIRO (OC-919147),CANCELADO,OK,INCONSISTENCIA,estado_CANCELADO | historial_con_caracteres_extraños,1.0
0,337334,ADICION,MEACALCMCA01,2014-07-01,ADICION (320018) → ADICION (337334),ACTIVO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,historial_con_caracteres_extraños,1.0
0,345082,ADICION,MEACALCMCU01,2014-07-02,ADICION (336397) → ADICION (345082),ACTIVO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,historial_con_caracteres_extraños,1.0
0,344908,ADICION,HUAZF01,2014-07-04,ADICION (344908),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
0,347634,AMPLIACION,HUACALBONO19,2014-07-11,AMPLIACION (347634),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
0,347656,AMPLIACION,HUACALCMCE03,2014-07-11,AMPLIACION (347656),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
0,347924,AMPLIACION,HUACALCMTO03,2014-07-11,AMPLIACION (347924),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
0,345930,DESPROGRAMACION,HUACALCMZI01,2014-07-14,ADICION (345930) → ADICION (345930) → DESPROGRAMACION (345930),CANCELADO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,estado_CANCELADO | historial_con_caracteres_extraños,1.0
0,349593,ADICION,HUACALBOSF07,2014-07-17,ADICION (349593),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
0,349071,ADICION,HUACALCMMU07,2014-07-18,ADICION (349071),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
0,350243,ADICION,MEACALCMSH01,2014-07-22,ADICION (350243),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
0,349067,ADICION,HUACALCMSO01,2014-07-23,ADICION (349067),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
0,352185,ADICION,MEACALCMSF03,2014-07-29,ADICION (352185),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
0,C352174,ADICION,MEACALCMTO14,2014-07-29,ADICION (C352174),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
0,353191,ADICION,HUACALBOCO27,2014-08-04,ADICION (353191),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
0,355931,ADICION,MEACALCMYO02,2014-08-22,ADICION (355934) → ADICION (355931),ACTIVO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,historial_con_caracteres_extraños,1.0
0,359563,ADICION,MEACALCMCU07,2014-08-29,ADICION (359563),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
0,359569,ADICION,MEACALCMCE07,2014-08-29,ADICION (359569),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
0,359571,ADICION,MEACALCMFO01,2014-08-29,AMPLIACION (348775) → ADICION (359571),ACTIVO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,historial_con_caracteres_extraños,1.0
0,359682,ADICION,MEACALCMNI01,2014-08-29,ADICION (C321680) → ADICION (359682),ACTIVO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,historial_con_caracteres_extraños,1.0
0,360331,ADICION,MEACALCMSA01,2014-09-02,ADICION (360331),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
0,358892,ADICION,HUACACZPZP03,2014-09-03,AMPLIACION (347927) → ADICION (358080) → ADICION (358892),ACTIVO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,historial_con_caracteres_extraños,1.0
0,349840,INSTALACION,HUACALCMHO04,2014-09-04,INSTALACION (349840),ACTIVO,OK,INCONSISTENCIA,duplicado_2.0_veces,2.0
0,360867,AMPLIACION,HUACALCMSA01,2014-09-04,AMPLIACION (360867),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
0,357614,RETIRO,HUACALBOSO01,2014-09-05,RETIRO (357614),CANCELADO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,estado_CANCELADO,1.0
0,357493,RETIRO,HUACALCMPA04,2014-09-08,RETIRO (357493),CANCELADO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,estado_CANCELADO,1.0
0,357581,RETIRO,HUACALCMRI01,2014-09-08,RETIRO (357581),CANCELADO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,estado_CANCELADO,1.0
0,361497,AMPLIACION,HUACALBOCO41,2014-09-09,AMPLIACION (361497),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
0,362942,RETIRO,HUACALBOCO37,2014-09-09,RETIRO (362942),CANCELADO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,estado_CANCELADO,1.0
0,362101,ADICION,HUACJ01,2014-09-10,ADICION (362101),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
0,362936,DESPROGRAMACION,HUACALBOPA08,2014-09-12,DESPROGRAMACION (362936),CANCELADO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,estado_CANCELADO,1.0
0,365218,ADICION,MEACALCMSA02,2014-09-18,ADICION (365218),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
0,347806,ADICION,MEACALCMGU02,2014-09-22,ADICION (347806),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
0,365853,ADICION,MEACALCMAC03,2014-09-22,ADICION (365853),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
0,365872,ADICION,MEACALCMCO02,2014-09-22,ADICION (365872),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
0,365982,ADICION,MEACALCMMU04,2014-09-22,ADICION (365982),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
0,365988,ADICION,MEACALCMTE05,2014-09-22,ADICION (365988),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
0,366477,ADICION,MEACALCMCO15,2014-09-22,ADICION (366477),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
0,365905,ADICION,MEACALCMHO01,2014-09-23,ADICION (365905),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
0,365999,ADICION,-,2014-09-24,ADICION (365875) → ADICION (365992) → ADICION (365999),ACTIVO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,historial_con_caracteres_extraños,1.0
0,368056,AMPLIACION,HUACALBOCMGU01,2014-10-01,AMPLIACION (368056),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
0,368058,OTROS,HUACALCMHO01,2014-10-01,AMPLIACION (347650) → OTROS (368058),ACTIVO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,historial_con_caracteres_extraños,1.0
0,368061,AMPLIACION,HUACALCMBS02,2014-10-01,AMPLIACION (368061),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
0,313278,ACTUALIZACION,MEACACCMCH06,2014-10-02,ACTUALIZACION (313278),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
0,C355891,INSTALACION,HUACALCMSA03,2014-10-03,INSTALACION (C355891),ACTIVO,OK,OK,,1.0
0,346354,ADICION,HUACALSMSP01,2014-10-06,ADICION (346354),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
0,355895,INSTALACION,MEACALCMSU09,2014-10-06,ADICION (365879) → ADICION (365879) → INSTALACION (355895),ACTIVO_CON_CAMBIO,OK,INCONSISTENCIA,historial_con_caracteres_extraños,1.0
0,C369724,AMPLIACION,HUACALBOAC19,2014-10-06,AMPLIACION (C369724),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
0,370752,RETIRO,HUACALCMTO01,2014-10-07,RETIRO (370752),CANCELADO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,estado_CANCELADO,1.0
0,C356274,DESPROGRAMACION,HUACALBOCR03,2014-10-07,DESPROGRAMACION (C356274),CANCELADO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,estado_CANCELADO,1.0
0,C366792,ADICION,HUATE03,2014-10-07,ADICION (C366792),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
0,C370032,DESPROGRAMACION,HUACE14,2014-10-07,DESPROGRAMACION (C370032),CANCELADO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,estado_CANCELADO,1.0
0,C370750,ADICION,HUARI01,2014-10-07,ADICION (C370750),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
0,C370856,ADICION,HUACE11,2014-10-07,ADICION (C370856),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
0,C362784,DESPROGRAMACION,HUACALBOTO13,2014-10-08,DESPROGRAMACION (C362784),CANCELADO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,duplicado_2.0_veces | estado_CANCELADO,2.0
0,C363810,RETIRO,HUCALBOCH12,2014-10-08,RETIRO (C363810),CANCELADO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,estado_CANCELADO,1.0
0,C367391,AMPLIACION,HUASO05,2014-10-08,AMPLIACION (C367391),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
0,C371122,ADICION,HUACALBOCU17,2014-10-08,ADICION (C371122),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
0,C367341,DESPROGRAMACION,HUASF03,2014-10-09,DESPROGRAMACION (C367341),CANCELADO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,estado_CANCELADO,1.0
0,C369180,ADICION,HUACALBOKE06,2014-10-09,ADICION (C369180),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
0,C369224,ADICION,HUACE02,2014-10-09,ADICION (C369224),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
0,C369226,ADICION,HUABC01,2014-10-10,ADICION (C369226),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
0,C369984,RETIRO,HUACALBOCU12,2014-10-10,RETIRO (C369984),CANCELADO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,estado_CANCELADO,1.0
0,C371748,ADICION,HUACALBOCO38,2014-10-10,ADICION (C371748),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
0,C372045,AMPLIACION,MECACALBOCE08,2014-10-10,AMPLIACION (C372045),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
0,371522,RETIRO,HUABA02,2014-10-11,RETIRO (371522),CANCELADO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,estado_CANCELADO,1.0
0,371528,RETIRO,HUACALCMCE01,2014-10-11,RETIRO (371528),CANCELADO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,estado_CANCELADO,1.0
0,C369708,RETIRO,HUACO15,2014-10-11,RETIRO (C369708),CANCELADO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,estado_CANCELADO,1.0
0,371956,RETIRO,HUACALCMO02,2014-10-14,RETIRO (371956),CANCELADO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,estado_CANCELADO,1.0
0,C368213,DESPROGRAMACION,HUAFO08,2014-10-14,DESPROGRAMACION (C368213),CANCELADO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,estado_CANCELADO,1.0
0,C368331,ADICION,HUACO05,2014-10-14,ADICION (C368331),ACTIVO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,duplicado_2.0_veces,2.0
0,C369696,INSTALACION,HUASB06,2014-10-14,INSTALACION (C369696),ACTIVO,OK,INCONSISTENCIA,duplicado_2.0_veces,2.0
0,C369986,DESPROGRAMACION,HUACALBOGU06,2014-10-14,DESPROGRAMACION (C369986),CANCELADO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,estado_CANCELADO,1.0
0,C370099,RETIRO,MEACRI02,2014-10-14,RETIRO (C370099),CANCELADO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,estado_CANCELADO,1.0
0,C371811,AMPLIACION,HUARI04,2014-10-14,RETIRO (371115) → AMPLIACION (C371811),ACTIVO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,historial_con_caracteres_extraños,1.0
0,C371959,RETIRO,HUACALCMYO01,2014-10-14,AMPLIACION (347802) → RETIRO (C371959),CANCELADO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,estado_CANCELADO | historial_con_caracteres_extraños,1.0
0,C371963,RETIRO,HUACALCMNI03,2014-10-14,RETIRO (C371963),CANCELADO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,estado_CANCELADO,1.0
0,C371967,RETIRO,HUACH08,2014-10-14,RETIRO (C371967),CANCELADO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,estado_CANCELADO,1.0
0,370741,INSTALACION,HUACALCMCO07,2014-10-15,INSTALACION (370741),ACTIVO,OK,INCONSISTENCIA,duplicado_2.0_veces,2.0
0,C367885,ADICION,HUACO04,2014-10-15,ADICION (C367885),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
0,C369304,ADICION,HUACALBOBS03,2014-10-15,ADICION (C372658) → ADICION (C369304),ACTIVO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,historial_con_caracteres_extraños,1.0
0,C369316,ADICION,HUACR01,2014-10-15,RETIRO (C372186) → ADICION (C369316),ACTIVO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,historial_con_caracteres_extraños,1.0
0,C369726,RETIRO,HUACALBOSB11,2014-10-15,RETIRO (C369726),CANCELADO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,estado_CANCELADO,1.0
0,C372661,ADICION,HUACALBOFO10,2014-10-15,ADICION (C372661),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
0,3,ADICION,MEACALCMOL01,2014-10-16,ADICION (3),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
0,4,ADICION,MEACALCMAU08,2014-10-16,ADICION (4),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
0,C00003,ADICION,MEACALCMBC01,2014-10-16,ADICION (C00001) → ADICION (C00003),ACTIVO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,historial_con_caracteres_extraños,1.0
0,372349,DESPROGRAMACION,HUACALBOCO31,2014-10-17,DESPROGRAMACION (C372300) → DESPROGRAMACION (372349),CANCELADO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,estado_CANCELADO | historial_con_caracteres_extraños,1.0
0,C373004,AMPLIACION,HUACALBOBA15,2014-10-17,AMPLIACION (C373004),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
0,C375133,DISMINUCION,HUACALCMCO09,2014-10-30,RETIRO (337031) → RETIRO (335019) → AMPLIACION (361495) → DISMINUCION (C375133),ACTIVO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,historial_con_caracteres_extraños,1.0
0,C380905,ADICION,MEACALCMYO03,2014-11-20,ADICION (C321682) → ADICION (C380905),ACTIVO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,historial_con_caracteres_extraños,1.0
0,361684,AMPLIACION,MPBBBLBOCU12,2014-12-22,AMPLIACION (361684),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
0,C371975,INSTALACION,HUACALCMTE05,2014-12-26,ADICION (349063) → INSTALACION (C371975),ACTIVO_CON_CAMBIO,OK,INCONSISTENCIA,historial_con_caracteres_extraños,1.0
0,C371961,INSTALACION,HUACALCMCU03,2015-01-05,INSTALACION (C371961),ACTIVO,OK,OK,,1.0
0,C381582,RETIRO,HUACO01,2015-01-05,RETIRO (C381582),CANCELADO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,estado_CANCELADO,1.0
0,C370952,DESPROGRAMACION,HUACO09,2015-01-07,DESPROGRAMACION (356687) → DESPROGRAMACION (C367350) → AMPLIACION (C373006) → DESPROGRAMACION (C370952),CANCELADO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,estado_CANCELADO | historial_con_caracteres_extraños,1.0
0,C390921,DESPROGRAMACION,HUACALBONI12,2015-01-07,DESPROGRAMACION (C390921),CANCELADO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,estado_CANCELADO,1.0
0,C390882,ADICION,SDMSB03,2015-01-09,ADICION (C390882),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
0,C391892,ADICION,MEACTE04,2015-01-09,ADICION (C370517) → ADICION (C391892),ACTIVO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,historial_con_caracteres_extraños,1.0
0,C392086,DISMINUCION,MECACALBOCO11,2015-01-13,DISMINUCION (C392086),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
0,C390458,DESPROGRAMACION,HUANO11 / HUAAU04,2015-01-20,DESPROGRAMACION (C392614) → DESPROGRAMACION (C390458),CANCELADO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,estado_CANCELADO | historial_con_caracteres_extraños,1.0
0,C394210,DESPROGRAMACION,HUACO17,2015-01-30,AMPLIACION (C369726) → DESPROGRAMACION (C394210),CANCELADO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,estado_CANCELADO | historial_con_caracteres_extraños,1.0
0,C400109,DESPROGRAMACION,HUAKE04_L,2015-02-13,DESPROGRAMACION (C400109),CANCELADO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,estado_CANCELADO,1.0
0,C401254,ADICION,HUACALBOCE27,2015-02-13,ADICION (C401254),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
0,C401779,ADICION,HUANO11,2015-02-16,ADICION (C401779),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
0,C401414,AMPLIACION,MEACBNVICA01,2015-02-17,AMPLIACION (C401414),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
0,C400430,DESPROGRAMACION,HUASZ02,2015-02-18,DESPROGRAMACION (C400430),CANCELADO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,estado_CANCELADO,1.0
0,C402367,DISMINUCION,MEACBLBOAU02,2015-02-19,DISMINUCION (C402367),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
0,C397405,ADICION,HUACALBOTE17,2015-02-24,ADICION (C397405) → ADICION (C397405),ACTIVO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,historial_con_caracteres_extraños,1.0
0,C401864,ADICION,HUASC04,2015-02-24,AMPLIACION (C369720) → ADICION (C401864),ACTIVO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,historial_con_caracteres_extraños,1.0
0,C385669,ADICION,HUACALBOSU08,2015-02-25,ADICION (C385669),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
0,C401543,INSTALACION,HUACALBOCU14,2015-02-25,INSTALACION (C401543),ACTIVO,OK,OK,,1.0
0,C404751,AMPLIACION,MEACBLBOLU02,2015-02-25,AMPLIACION (C404751),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
0,C404574,RETIRO,HUACALCMPA02,2015-02-26,ADICION (349027) → RETIRO (C404574),CANCELADO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,estado_CANCELADO | historial_con_caracteres_extraños,1.0
0,C404577,RETIRO,HUASU03,2015-02-26,RETIRO (C404577),CANCELADO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,estado_CANCELADO,1.0
0,C404589,RETIRO,HUACALBOSF05,2015-02-26,RETIRO (C404589),CANCELADO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,estado_CANCELADO,1.0
0,C403458,RETIRO,HUACALBOTO15,2015-02-27,RETIRO (C403458),CANCELADO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,estado_CANCELADO,1.0
0,C403471,DESPROGRAMACION,HUAPA05,2015-02-27,DESPROGRAMACION (C403471),CANCELADO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,estado_CANCELADO,1.0
0,C403525,RETIRO,HUACALCMNI02,2015-02-27,TRASLADO INTERNO (360275) → RETIRO (C403525),CANCELADO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,estado_CANCELADO | historial_con_caracteres_extraños,1.0
0,C403562,RETIRO,HUACALCMCO03,2015-02-27,RETIRO (C403562),CANCELADO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,estado_CANCELADO,1.0
0,C405336,ADICION,MEACALCMRI04,2015-03-05,ADICION (C405336),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
0,C406332,RETIRO,HUACALBOSA08,2015-03-06,RETIRO (C406332),CANCELADO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,estado_CANCELADO,1.0
0,C406341,RETIRO,HUACALCMOL01,2015-03-06,RETIRO (C406341),CANCELADO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,estado_CANCELADO,1.0
0,C406336,RETIRO,HUACALCMOL03,2015-03-10,RETIRO (C406336),CANCELADO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,estado_CANCELADO,1.0
0,C408698,AMPLIACION,HUACALBONI10,2015-03-10,AMPLIACION (C408698),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
0,C406328,RETIRO,HUASI01,2015-03-11,RETIRO (C406328),CANCELADO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,estado_CANCELADO,1.0
0,C400098,ADICION,MECACALBOZF05,2015-03-24,ADICION (C400098),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
0,C405812,DESPROGRAMACION,MEACALCMNI03,2015-03-24,ADICION (359545) → DESPROGRAMACION (C405812),CANCELADO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,estado_CANCELADO | historial_con_caracteres_extraños,1.0
0,C405872,DESPROGRAMACION,MEACALCMSB04,2015-03-27,ADICION (365069) → DESPROGRAMACION (C405872),CANCELADO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,estado_CANCELADO | historial_con_caracteres_extraños,1.0
0,C405875,DESPROGRAMACION,MEACALCMSJ01,2015-03-27,ADICION (365085) → DESPROGRAMACION (C405875),CANCELADO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,estado_CANCELADO | historial_con_caracteres_extraños,1.0
0,C405883,DESPROGRAMACION,MEACALCMPA04,2015-03-27,ADICION (365865) → ADICION (365865) → DESPROGRAMACION (C405883),CANCELADO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,estado_CANCELADO | historial_con_caracteres_extraños,1.0
0,C412856,AMPLIACION,HUACE01,2015-03-27,AMPLIACION (C412856),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
0,C405891,DESPROGRAMACION,MEACALCMTO01,2015-03-28,ADICION (365896) → ADICION (365896) → DESPROGRAMACION (C405891),CANCELADO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,estado_CANCELADO | historial_con_caracteres_extraños,1.0
0,C405893,DESPROGRAMACION,MEACALCMCU04,2015-03-28,ADICION (365900) → DESPROGRAMACION (C405893),CANCELADO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,estado_CANCELADO | historial_con_caracteres_extraños,1.0
0,C405902,DESPROGRAMACION,MEACALCMCH01,2015-03-28,ADICION (344304) → ADICION (365990) → ADICION (C00002) → DESPROGRAMACION (C405902),CANCELADO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,estado_CANCELADO | historial_con_caracteres_extraños,1.0
0,C412438,RETIRO,HUACALBOCO20,2015-03-30,RETIRO (C412438),CANCELADO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,estado_CANCELADO,1.0
0,C405907,DESPROGRAMACION,HUACALCMYO03,2015-03-31,DESPROGRAMACION (C405907),CANCELADO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,estado_CANCELADO,1.0
0,C407979,AMPLIACION,MEATO03,2015-04-04,AMPLIACION (C407979),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
0,C405905,DESPROGRAMACION,MEACALCMRI02,2015-04-07,ADICION (335733) → DESPROGRAMACION (C405905),CANCELADO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,estado_CANCELADO | historial_con_caracteres_extraños,1.0
0,C406293,ADICION,HUAAU06,2015-04-07,ADICION (C406293),ACTIVO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,duplicado_2.0_veces,2.0
0,C410132,RETIRO,MEACBLBOSA02,2015-04-07,INSTALACION (C410132) → ADICION (C415329) → RETIRO (C445864) → RETIRO (C476755) → ADICION (C503776) → ADICION (C504490) → AMPLIACION (C517832) → DESPROGRAMACION (C510819) → ADICION (C517238) → RETIRO (C540408),CANCELADO,OK,INCONSISTENCIA,estado_CANCELADO | historial_con_caracteres_extraños,1.0
0,C414111,ADICION,HUAAE01,2015-04-08,ADICION (C414111),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
0,C405528,ADICION,HUAAC01,2015-04-09,ADICION (C405528),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
0,C415423,ADICION,MEACALCMSU01,2015-04-09,ADICION (350236) → ADICION (352188) → ADICION (C415423),ACTIVO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,historial_con_caracteres_extraños,1.0
0,C415627,AMPLIACION,MEACBLBOAE02,2015-04-09,AMPLIACION (C415627),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
0,C408111,ADICION,MEACALBOSA02,2015-04-14,ADICION (C408111),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
0,C405805,DESPROGRAMACION,MEACALCMFO02,2015-04-20,ADICION (344334) → DESPROGRAMACION (C405805),CANCELADO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,estado_CANCELADO | historial_con_caracteres_extraños,1.0
0,C418721,AMPLIACION,HUAMU03,2015-04-21,AMPLIACION (C418721),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
